COHORT_NAME	SET	SYMBOL	DECISION
HMF	FULL	ASXL1	IN COMPENDIUM
HMF	FULL	ATM	IN COMPENDIUM
HMF	FULL	BAX	IN COMPENDIUM
HMF	FULL	DNM2	IN COMPENDIUM
HMF	FULL	DNMT3A	IN COMPENDIUM
HMF	FULL	GNB1	IN COMPENDIUM
HMF	FULL	JAK2	IN COMPENDIUM
HMF	FULL	KDM5C	IN COMPENDIUM
HMF	FULL	KMT2C	IN COMPENDIUM
HMF	FULL	MYO5A	IN COMPENDIUM
HMF	FULL	NOTCH1	IN COMPENDIUM
HMF	FULL	PPM1D	IN COMPENDIUM
HMF	FULL	TET2	IN COMPENDIUM
HMF	FULL	TFRC	IN COMPENDIUM
HMF	FULL	TP53	IN COMPENDIUM
HMF	MOSAIC	ARID2	IN COMPENDIUM
HMF	MOSAIC	ASXL1	IN COMPENDIUM
HMF	MOSAIC	ATE1	IN COMPENDIUM
HMF	MOSAIC	ATM	IN COMPENDIUM
HMF	MOSAIC	CHEK2	IN COMPENDIUM
HMF	MOSAIC	DNMT3A	IN COMPENDIUM
HMF	MOSAIC	FOXP1	IN COMPENDIUM
HMF	MOSAIC	JAK2	IN COMPENDIUM
HMF	MOSAIC	MYO5A	IN COMPENDIUM
HMF	MOSAIC	PPM1D	IN COMPENDIUM
HMF	MOSAIC	PTPRD	IN COMPENDIUM
HMF	MOSAIC	RET	IN COMPENDIUM
HMF	MOSAIC	SF3B1	IN COMPENDIUM
HMF	MOSAIC	TET2	IN COMPENDIUM
HMF	MOSAIC	TP53	IN COMPENDIUM
HMF	MOSAIC	TP63	IN COMPENDIUM
HMF	MUTECT	APC	IN COMPENDIUM
HMF	MUTECT	ARID2	IN COMPENDIUM
HMF	MUTECT	ASXL1	IN COMPENDIUM
HMF	MUTECT	ATM	IN COMPENDIUM
HMF	MUTECT	CUX1	IN COMPENDIUM
HMF	MUTECT	DNMT3A	IN COMPENDIUM
HMF	MUTECT	PPM1D	IN COMPENDIUM
HMF	MUTECT	SF3B1	IN COMPENDIUM
HMF	MUTECT	SMC1A	IN COMPENDIUM
HMF	MUTECT	TET2	IN COMPENDIUM
HMF	MUTECT	TP53	IN COMPENDIUM
TCGA	MOSAIC	ABL2	IN COMPENDIUM
TCGA	MOSAIC	AFF3	IN COMPENDIUM
TCGA	MOSAIC	ASXL1	IN COMPENDIUM
TCGA	MOSAIC	ATM	IN COMPENDIUM
TCGA	MOSAIC	CHEK2	IN COMPENDIUM
TCGA	MOSAIC	DNMT3A	IN COMPENDIUM
TCGA	MOSAIC	GNAS	IN COMPENDIUM
TCGA	MOSAIC	GNB1	IN COMPENDIUM
TCGA	MOSAIC	JAK2	IN COMPENDIUM
TCGA	MOSAIC	KMT2C	IN COMPENDIUM
TCGA	MOSAIC	LZTR1	IN COMPENDIUM
TCGA	MOSAIC	PPFIBP1	IN COMPENDIUM
TCGA	MOSAIC	PPM1D	IN COMPENDIUM
TCGA	MOSAIC	SRSF2	IN COMPENDIUM
TCGA	MOSAIC	TET2	IN COMPENDIUM
TCGA	MOSAIC	TP53	IN COMPENDIUM
TCGA	FULL	AFF3	IN COMPENDIUM
TCGA	FULL	ASXL1	IN COMPENDIUM
TCGA	FULL	ATM	IN COMPENDIUM
TCGA	FULL	CHEK2	IN COMPENDIUM
TCGA	FULL	DNMT3A	IN COMPENDIUM
TCGA	FULL	ERCC2	IN COMPENDIUM
TCGA	FULL	GNAS	IN COMPENDIUM
TCGA	FULL	GNB1	IN COMPENDIUM
TCGA	FULL	JAK2	IN COMPENDIUM
TCGA	FULL	MYD88	IN COMPENDIUM
TCGA	FULL	PABPC1	IN COMPENDIUM
TCGA	FULL	PPM1D	IN COMPENDIUM
TCGA	FULL	SDHAF2	IN COMPENDIUM
TCGA	FULL	SRSF2	IN COMPENDIUM
TCGA	FULL	STAT3	IN COMPENDIUM
TCGA	FULL	TET2	IN COMPENDIUM
TCGA	FULL	TP53	IN COMPENDIUM
HMF	FULL	FBLN2	DISCARDED
HMF	FULL	ZNF334	DISCARDED
HMF	FULL	ZNF691	DISCARDED
HMF	FULL	ZNF749	DISCARDED
HMF	MOSAIC	FNBP1L	DISCARDED
HMF	MOSAIC	RASAL3	DISCARDED
HMF	MOSAIC	SRCAP	DISCARDED
HMF	MOSAIC	ZNF334	DISCARDED
HMF	MOSAIC	ZNF691	DISCARDED
HMF	MOSAIC	ZNF749	DISCARDED
HMF	MUTECT	SRCAP	DISCARDED
TCGA	MOSAIC	B4GALT5	DISCARDED
TCGA	MOSAIC	CDC42BPA	DISCARDED
TCGA	FULL	CDC42BPA	DISCARDED
