	Val	LC	HC	pvalue
Age	0.21468915155969295	0.16730575775958267	0.26207254535980323	6.662649663570408e-19
Gender	-0.07465966611670884	-0.21753733930975994	0.06821800707634228	0.30575753056935195
UCEC	-0.23828484577067902	-0.8334751818938437	0.35690549035248575	0.4326453869071629
BRCA	-0.738636987299036	-1.3258819544891773	-0.15139202010889485	0.013692013248276041
SKCM	-0.5445109340073038	-1.3297540567971255	0.240732188782518	0.1741157535440635
BLCA	-0.667881217957536	-1.2850970977415384	-0.05066533817353347	0.03393431365309495
HNSC	-0.488550743164567	-1.0904791402388874	0.11337765390975335	0.11165677447257168
KIRC	0.01625837281173509	-0.729444236331307	0.7619609819547772	0.9659146774566623
LUAD	-0.3094314983366385	-0.9133459477612812	0.29448295108800415	0.31526330863925633
STAD	-0.33584046447049726	-0.9408634817581676	0.2691825528171731	0.27661687238425536
COAD	0.18379623634105208	-0.4137618747442697	0.7813543474263738	0.5466128270051767
LUSC	-0.150794972880118	-0.7642892161048431	0.4626992703446071	0.6299813934139971
READ	-0.10232036955267591	-0.7925618750774042	0.5879211359720524	0.7714015227825716
LGG	-0.518281943983095	-1.1382418849997462	0.10167799703355629	0.10131421300679178
TGCT	0.16952108009867717	-0.5620423755055782	0.9010845357029326	0.649705453612789
LIHC	0.1887067556165204	-0.41597046749668165	0.7933839787297224	0.5407610089141124
PRAD	-0.5676492043398873	-1.1807278789637616	0.04542947028398703	0.06956547929935554
THCA	-0.16320681167061843	-0.7757735519165002	0.4493599285752633	0.6015343578631264
CESC	0.12533455194761348	-0.49915010369758306	0.74981920759281	0.6940489687946305
OV	-0.16226757726255903	-0.779983200605107	0.4554480460799889	0.6066491103440099
GBM	-0.05592037684220057	-0.656612094288196	0.544771340603795	0.8552221165803475
PAAD	-0.12620000227494146	-0.7968559471843895	0.5444559426345066	0.71226619350635
THYM	1.4072588332027844	0.7266650652869506	2.0878526011186183	5.065082194626357e-05
KIRP	0.2811816674290017	-0.3398501809202113	0.9022135157782147	0.3748616084423462
PCPG	-0.6351446147250049	-1.3659157388154086	0.09562650936539863	0.08847659522052555
SARC	0.1372455067818602	-0.4866556963179416	0.761146709881662	0.6663578541442368
ACC	-0.04897678076806024	-0.8383046074871431	0.7403510459510226	0.9032053153260392
UVM	-0.20351315270985837	-0.9831425351591205	0.5761162297394038	0.6089129763084008
ESCA	0.22314978272212257	-0.4584045990636544	0.9047041645078996	0.5210564689117955
MESO	0.2267760948682842	-0.5056407244008605	0.9591929141374289	0.5439451780640436
UCS	0.03903412238077067	-0.7998319262734311	0.8779001710349724	0.927332831571327
